#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
34,Nidoking,Poison,Ground,183,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,,115,70,45,48,60,65,35,1,False
36,Clefable,Fairy,,165,95,70,73,95,90,60,1,False
37,Vulpix,Fire,,79,38,41,40,50,65,65,1,False
38,Ninetales,Fire,,149,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Fairy,160,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Fairy,210,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,85,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,155,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,95,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,125,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,155,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,105,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,155,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,115,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,135,70,65,60,90,75,90,1,False
50,Diglett,Ground,,65,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,,115,35,80,50,50,70,120,1,False
52,Meowth,Normal,,85,40,45,35,40,40,90,1,False
53,Persian,Normal,,135,65,70,60,65,65,115,1,False
54,Psyduck,Water,,102,50,52,48,65,50,55,1,False
55,Golduck,Water,,162,80,82,78,95,80,85,1,False
56,Mankey,Fighting,,120,40,80,35,35,45,70,1,False
57,Primeape,Fighting,,170,65,105,60,60,70,95,1,False
58,Growlithe,Fire,,125,55,70,45,70,50,60,1,False
59,Arcanine,Fire,,200,90,110,80,100,80,95,1,False
60,Poliwag,Water,,90,40,50,40,40,40,90,1,False
61,Poliwhirl,Water,,130,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,185,90,95,95,70,90,70,1,False
63,Abra,Psychic,,45,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,,75,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,105,55,50,45,135,95,120,1,False
65,AlakazamMega Alakazam,Psychic,,105,55,50,65,175,95,150,1,False
66,Machop,Fighting,,150,70,80,50,35,35,35,1,False
67,Machoke,Fighting,,180,80,100,70,50,60,45,1,False
68,Machamp,Fighting,,220,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,125,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,155,65,90,50,85,45,55,1,False
71,Victreebel,Grass,Poison,185,80,105,65,100,70,70,1,False
72,Tentacool,Water,Poison,80,40,40,35,50,100,70,1,False
73,Tentacruel,Water,Poison,150,80,70,65,80,120,100,1,False
74,Geodude,Rock,Ground,120,40,80,100,30,30,20,1,False
75,Graveler,Rock,Ground,150,55,95,115,45,45,35,1,False
76,Golem,Rock,Ground,200,80,120,130,55,65,45,1,False
77,Ponyta,Fire,,135,50,85,55,65,65,90,1,False
78,Rapidash,Fire,,165,65,100,70,80,80,105,1,False
79,Slowpoke,Water,Psychic,155,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,170,95,75,110,100,80,30,1,False
80,SlowbroMega Slowbro,Water,Psychic,170,95,75,180,130,80,30,1,False
81,Magnemite,Electric,Steel,60,25,35,70,95,55,45,1,False
82,Magneton,Electric,Steel,110,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Flying,117,52,65,55,58,62,60,1,False
84,Doduo,Normal,Flying,120,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Flying,170,60,110,70,60,60,100,1,False
86,Seel,Water,,110,65,45,55,45,70,45,1,False
87,Dewgong,Water,Ice,160,90,70,80,70,95,70,1,False
88,Grimer,Poison,,160,80,80,50,40,50,25,1,False
89,Muk,Poison,,210,105,105,75,65,100,50,1,False
90,Shellder,Water,,95,30,65,100,45,25,40,1,False
91,Cloyster,Water,Ice,145,50,95,180,85,45,70,1,False
92,Gastly,Ghost,Poison,65,30,35,30,100,35,80,1,False
93,Haunter,Ghost,Poison,95,45,50,45,115,55,95,1,False
94,Gengar,Ghost,Poison,125,60,65,60,130,75,110,1,False
94,GengarMega Gengar,Ghost,Poison,125,60,65,80,170,95,130,1,False
95,Onix,Rock,Ground,80,35,45,160,30,45,70,1,False
96,Drowzee,Psychic,,108,60,48,45,43,90,42,1,False
97,Hypno,Psychic,,158,85,73,70,73,115,67,1,False
98,Krabby,Water,,135,30,105,90,25,25,50,1,False
99,Kingler,Water,,185,55,130,115,50,50,75,1,False
100,Voltorb,Electric,,70,40,30,50,55,55,100,1,False
101,Electrode,Electric,,110,60,50,70,80,80,140,1,False
102,Exeggcute,Grass,Psychic,100,60,40,80,60,45,40,1,False
103,Exeggutor,Grass,Psychic,190,95,95,85,125,65,55,1,False
104,Cubone,Ground,,100,50,50,95,40,50,35,1,False
105,Marowak,Ground,,140,60,80,110,50,80,45,1,False
106,Hitmonlee,Fighting,,170,50,120,53,35,110,87,1,False
107,Hitmonchan,Fighting,,155,50,105,79,35,110,76,1,False
108,Lickitung,Normal,,145,90,55,75,60,75,30,1,False
109,Koffing,Poison,,105,40,65,95,60,45,35,1,False
110,Weezing,Poison,,155,65,90,120,85,70,60,1,False
111,Rhyhorn,Ground,Rock,165,80,85,95,30,30,25,1,False
112,Rhydon,Ground,Rock,235,105,130,120,45,45,40,1,False
113,Chansey,Normal,,255,250,5,5,35,105,50,1,False
114,Tangela,Grass,,120,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,,200,105,95,80,40,80,90,1,False
115,KangaskhanMega Kangaskhan,Normal,,230,105,125,100,60,100,100,1,False
116,Horsea,Water,,70,30,40,70,70,25,60,1,False
117,Seadra,Water,,120,55,65,95,95,45,85,1,False
118,Goldeen,Water,,112,45,67,60,35,50,63,1,False
119,Seaking,Water,,172,80,92,65,65,80,68,1,False
120,Staryu,Water,,75,30,45,55,70,55,85,1,False
121,Starmie,Water,Psychic,135,60,75,85,100,85,115,1,False
122,Mr. Mime,Psychic,Fairy,85,40,45,65,100,120,90,1,False
123,Scyther,Bug,Flying,180,70,110,80,55,80,105,1,False
124,Jynx,Ice,Psychic,115,65,50,35,115,95,95,1,False
125,Electabuzz,Electric,,148,65,83,57,95,85,105,1,False
126,Magmar,Fire,,160,65,95,57,100,85,93,1,False
127,Pinsir,Bug,,190,65,125,100,55,70,85,1,False
127,PinsirMega Pinsir,Bug,Flying,220,65,155,120,65,90,105,1,False
128,Tauros,Normal,,175,75,100,95,40,70,110,1,False
129,Magikarp,Water,,30,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,220,95,125,79,60,100,81,1,False
130,GyaradosMega Gyarados,Water,Dark,250,95,155,109,70,130,81,1,False
131,Lapras,Water,Ice,215,130,85,80,85,95,60,1,False
132,Ditto,Normal,,96,48,48,48,48,48,48,1,False
133,Eevee,Normal,,110,55,55,50,45,65,55,1,False
134,Vaporeon,Water,,195,130,65,60,110,95,65,1,False
135,Jolteon,Electric,,130,65,65,60,110,95,130,1,False
136,Flareon,Fire,,195,65,130,60,95,110,65,1,False
137,Porygon,Normal,,125,65,60,70,85,75,40,1,False
138,Omanyte,Rock,Water,75,35,40,100,90,55,35,1,False
139,Omastar,Rock,Water,130,70,60,125,115,70,55,1,False
140,Kabuto,Rock,Water,110,30,80,90,55,45,55,1,False
141,Kabutops,Rock,Water,175,60,115,105,65,70,80,1,False
142,Aerodactyl,Rock,Flying,185,80,105,65,60,75,130,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,215,80,135,85,70,95,150,1,False
143,Snorlax,Normal,,270,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,175,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,180,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,190,90,100,90,125,85,90,1,True
147,Dratini,Dragon,,105,41,64,45,50,50,50,1,False
148,Dragonair,Dragon,,145,61,84,65,70,70,70,1,False
149,Dragonite,Dragon,Flying,225,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,216,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,296,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,256,106,150,70,194,120,140,1,True
151,Mew,Psychic,,200,100,100,100,100,100,100,1,False
152,Chikorita,Grass,,94,45,49,65,49,65,45,2,False
153,Bayleef,Grass,,122,60,62,80,63,80,60,2,False
154,Meganium,Grass,,162,80,82,100,83,100,80,2,False
155,Cyndaquil,Fire,,91,39,52,43,60,50,65,2,False
156,Quilava,Fire,,122,58,64,58,80,65,80,2,False
157,Typhlosion,Fire,,162,78,84,78,109,85,100,2,False
158,Totodile,Water,,115,50,65,64,44,48,43,2,False
159,Croconaw,Water,,145,65,80,80,59,63,58,2,False
160,Feraligatr,Water,,190,85,105,100,79,83,78,2,False
161,Sentret,Normal,,81,35,46,34,35,45,20,2,False
162,Furret,Normal,,161,85,76,64,45,55,90,2,False
163,Hoothoot,Normal,Flying,90,60,30,30,36,56,50,2,False
164,Noctowl,Normal,Flying,150,100,50,50,76,96,70,2,False
165,Ledyba,Bug,Flying,60,40,20,30,40,80,55,2,False
166,Ledian,Bug,Flying,90,55,35,50,55,110,85,2,False
167,Spinarak,Bug,Poison,100,40,60,40,40,40,30,2,False
168,Ariados,Bug,Poison,160,70,90,70,60,60,40,2,False
169,Crobat,Poison,Flying,175,85,90,80,70,80,130,2,False
170,Chinchou,Water,Electric,113,75,38,38,56,56,67,2,False
171,Lanturn,Water,Electric,183,125,58,58,76,76,67,2,False
172,Pichu,Electric,,60,20,40,15,35,35,60,2,False
173,Cleffa,Fairy,,75,50,25,28,45,55,15,2,False
174,Igglybuff,Normal,Fairy,120,90,30,15,40,20,15,2,False
175,Togepi,Fairy,,55,35,20,65,40,65,20,2,False
176,Togetic,Fairy,Flying,95,55,40,85,80,105,40,2,False
177,Natu,Psychic,Flying,90,40,50,45,70,45,70,2,False
178,Xatu,Psychic,Flying,140,65,75,70,95,70,95,2,False
179,Mareep,Electric,,95,55,40,40,65,45,35,2,False
180,Flaaffy,Electric,,125,70,55,55,80,60,45,2,False
181,Ampharos,Electric,,165,90,75,85,115,90,55,2,False
181,AmpharosMega Ampharos,Electric,Dragon,185,90,95,105,165,110,45,2,False
182,Bellossom,Grass,,155,75,80,95,90,100,50,2,False
183,Marill,Water,Fairy,90,70,20,50,20,50,40,2,False
184,Azumarill,Water,Fairy,150,100,50,80,60,80,50,2,False
185,Sudowoodo,Rock,,170,70,100,115,30,65,30,2,False
186,Politoed,Water,,165,90,75,75,90,100,70,2,False
187,Hoppip,Grass,Flying,70,35,35,40,35,55,50,2,False
188,Skiploom,Grass,Flying,100,55,45,50,45,65,80,2,False
189,Jumpluff,Grass,Flying,130,75,55,70,55,95,110,2,False
190,Aipom,Normal,,125,55,70,55,40,55,85,2,False
191,Sunkern,Grass,,60,30,30,30,30,30,30,2,False
192,Sunflora,Grass,,150,75,75,55,105,85,30,2,False
193,Yanma,Bug,Flying,130,65,65,45,75,45,95,2,False
194,Wooper,Water,Ground,100,55,45,45,25,25,15,2,False
195,Quagsire,Water,Ground,180,95,85,85,65,65,35,2,False
196,Espeon,Psychic,,130,65,65,60,130,95,110,2,False
197,Umbreon,Dark,,160,95,65,110,60,130,65,2,False
198,Murkrow,Dark,Flying,145,60,85,42,85,42,91,2,False
199,Slowking,Water,Psychic,170,95,75,80,100,110,30,2,False
200,Misdreavus,Ghost,,120,60,60,60,85,85,85,2,False
201,Unown,Psychic,,120,48,72,48,72,48,48,2,False
202,Wobbuffet,Psychic,,223,190,33,58,33,58,33,2,False
203,Girafarig,Normal,Psychic,150,70,80,65,90,65,85,2,False
204,Pineco,Bug,,115,50,65,90,35,35,15,2,False
205,Forretress,Bug,Steel,165,75,90,140,60,60,40,2,False
206,Dunsparce,Normal,,170,100,70,70,65,65,45,2,False
207,Gligar,Ground,Flying,140,65,75,105,35,65,85,2,False
208,Steelix,Steel,Ground,160,75,85,200,55,65,30,2,False
208,SteelixMega Steelix,Steel,Ground,200,75,125,230,55,95,30,2,False
209,Snubbull,Fairy,,140,60,80,50,40,40,30,2,False
210,Granbull,Fairy,,210,90,120,75,60,60,45,2,False
211,Qwilfish,Water,Poison,160,65,95,75,55,55,85,2,False
212,Scizor,Bug,Steel,200,70,130,100,55,80,65,2,False
212,ScizorMega Scizor,Bug,Steel,220,70,150,140,65,100,75,2,False
213,Shuckle,Bug,Rock,30,20,10,230,10,230,5,2,False
214,Heracross,Bug,Fighting,205,80,125,75,40,95,85,2,False
214,HeracrossMega Heracross,Bug,Fighting,265,80,185,115,40,105,75,2,False
215,Sneasel,Dark,Ice,150,55,95,55,35,75,115,2,False
216,Teddiursa,Normal,,140,60,80,50,50,50,40,2,False
217,Ursaring,Normal,,220,90,130,75,75,75,55,2,False
218,Slugma,Fire,,80,40,40,40,70,40,20,2,False
219,Magcargo,Fire,Rock,100,50,50,120,80,80,30,2,False
220,Swinub,Ice,Ground,100,50,50,40,30,30,50,2,False
221,Piloswine,Ice,Ground,200,100,100,80,60,60,50,2,False
222,Corsola,Water,Rock,110,55,55,85,65,85,35,2,False
223,Remoraid,Water,,100,35,65,35,65,35,65,2,False
224,Octillery,Water,,180,75,105,75,105,75,45,2,False
225,Delibird,Ice,Flying,100,45,55,45,65,45,75,2,False
226,Mantine,Water,Flying,105,65,40,70,80,140,70,2,False
227,Skarmory,Steel,Flying,145,65,80,140,40,70,70,2,False
228,Houndour,Dark,Fire,105,45,60,30,80,50,65,2,False
229,Houndoom,Dark,Fire,165,75,90,50,110,80,95,2,False
229,HoundoomMega Houndoom,Dark,Fire,165,75,90,90,140,90,115,2,False
230,Kingdra,Water,Dragon,170,75,95,95,95,95,85,2,False
231,Phanpy,Ground,,150,90,60,60,40,40,40,2,False
232,Donphan,Ground,,210,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,165,85,80,90,105,95,60,2,False
234,Stantler,Normal,,168,73,95,62,85,65,85,2,False
235,Smeargle,Normal,,75,55,20,35,20,45,75,2,False
236,Tyrogue,Fighting,,70,35,35,35,35,35,35,2,False
237,Hitmontop,Fighting,,145,50,95,95,35,110,70,2,False
238,Smoochum,Ice,Psychic,75,45,30,15,85,65,65,2,False
239,Elekid,Electric,,108,45,63,37,65,55,95,2,False
240,Magby,Fire,,120,45,75,37,70,55,83,2,False
241,Miltank,Normal,,175,95,80,105,40,70,100,2,False
242,Blissey,Normal,,265,255,10,10,75,135,55,2,False
243,Raikou,Electric,,175,90,85,75,115,100,115,2,True
244,Entei,Fire,,230,115,115,85,90,75,100,2,True
245,Suicune,Water,,175,100,75,115,90,115,85,2,True
246,Larvitar,Rock,Ground,114,50,64,50,45,50,41,2,False
247,Pupitar,Rock,Ground,154,70,84,70,65,70,51,2,False
248,Tyranitar,Rock,Dark,234,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Rock,Dark,264,100,164,150,95,120,71,2,False
249,Lugia,Psychic,Flying,196,106,90,130,90,154,110,2,True
250,Ho-oh,Fire,Flying,236,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,200,100,100,100,100,100,100,2,False
252,Treecko,Grass,,85,40,45,35,65,55,70,3,False
253,Grovyle,Grass,,115,50,65,45,85,65,95,3,False
254,Sceptile,Grass,,155,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,Grass,Dragon,180,70,110,75,145,85,145,3,False
255,Torchic,Fire,,105,45,60,40,70,50,45,3,False
256,Combusken,Fire,Fighting,145,60,85,60,85,60,55,3,False
257,Blaziken,Fire,Fighting,200,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,Fire,Fighting,240,80,160,80,130,80,100,3,False
258,Mudkip,Water,,120,50,70,50,50,50,40,3,False
259,Marshtomp,Water,Ground,155,70,85,70,60,70,50,3,False
260,Swampert,Water,Ground,210,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Water,Ground,250,100,150,110,95,110,70,3,False
261,Poochyena,Dark,,90,35,55,35,30,30,35,3,False
262,Mightyena,Dark,,160,70,90,70,60,60,70,3,False
263,Zigzagoon,Normal,,68,38,30,41,30,41,60,3,False
264,Linoone,Normal,,148,78,70,61,50,61,100,3,False
265,Wurmple,Bug,,90,45,45,35,20,30,20,3,False
266,Silcoon,Bug,,85,50,35,55,25,25,15,3,False
267,Beautifly,Bug,Flying,130,60,70,50,100,50,65,3,False
268,Cascoon,Bug,,85,50,35,55,25,25,15,3,False
269,Dustox,Bug,Poison,110,60,50,70,50,90,65,3,False
270,Lotad,Water,Grass,70,40,30,30,40,50,30,3,False
271,Lombre,Water,Grass,110,60,50,50,60,70,50,3,False
272,Ludicolo,Water,Grass,150,80,70,70,90,100,70,3,False
273,Seedot,Grass,,80,40,40,50,30,30,30,3,False
274,Nuzleaf,Grass,Dark,140,70,70,40,60,40,60,3,False
275,Shiftry,Grass,Dark,190,90,100,60,90,60,80,3,False
276,Taillow,Normal,Flying,95,40,55,30,30,30,85,3,False
277,Swellow,Normal,Flying,145,60,85,60,50,50,125,3,False
278,Wingull,Water,Flying,70,40,30,30,55,30,85,3,False
279,Pelipper,Water,Flying,110,60,50,100,85,70,65,3,False
280,Ralts,Psychic,Fairy,53,28,25,25,45,35,40,3,False
281,Kirlia,Psychic,Fairy,73,38,35,35,65,55,50,3,False
282,Gardevoir,Psychic,Fairy,133,68,65,65,125,115,80,3,False
282,GardevoirMega Gardevoir,Psychic,Fairy,153,68,85,65,165,135,100,3,False
283,Surskit,Bug,Water,70,40,30,32,50,52,65,3,False
284,Masquerain,Bug,Flying,130,70,60,62,80,82,60,3,False
285,Shroomish,Grass,,100,60,40,60,40,60,35,3,False
286,Breloom,Grass,Fighting,190,60,130,80,60,60,70,3,False
287,Slakoth,Normal,,120,60,60,60,35,35,30,3,False
288,Vigoroth,Normal,,160,80,80,80,55,55,90,3,False
289,Slaking,Normal,,310,150,160,100,95,65,100,3,False
290,Nincada,Bug,Ground,76,31,45,90,30,30,40,3,False
291,Ninjask,Bug,Flying,151,61,90,45,50,50,160,3,False
292,Shedinja,Bug,Ghost,91,1,90,45,30,30,40,3,False
293,Whismur,Normal,,115,64,51,23,51,23,28,3,False
294,Loudred,Normal,,155,84,71,43,71,43,48,3,False
295,Exploud,Normal,,195,104,91,63,91,73,68,3,False
296,Makuhita,Fighting,,132,72,60,30,20,30,25,3,False
297,Hariyama,Fighting,,264,144,120,60,40,60,50,3,False
298,Azurill,Normal,Fairy,70,50,20,40,20,40,20,3,False
299,Nosepass,Rock,,75,30,45,135,45,90,30,3,False
300,Skitty,Normal,,95,50,45,45,35,35,50,3,False
301,Delcatty,Normal,,135,70,65,65,55,55,70,3,False
302,Sableye,Dark,Ghost,125,50,75,75,65,65,50,3,False
302,SableyeMega Sableye,Dark,Ghost,135,50,85,125,85,115,20,3,False
303,Mawile,Steel,Fairy,135,50,85,85,55,55,50,3,False
303,MawileMega Mawile,Steel,Fairy,155,50,105,125,55,95,50,3,False
304,Aron,Steel,Rock,120,50,70,100,40,40,30,3,False
305,Lairon,Steel,Rock,150,60,90,140,50,50,40,3,False
306,Aggron,Steel,Rock,180,70,110,180,60,60,50,3,False
306,AggronMega Aggron,Steel,,210,70,140,230,60,80,50,3,False
307,Meditite,Fighting,Psychic,70,30,40,55,40,55,60,3,False
308,Medicham,Fighting,Psychic,120,60,60,75,60,75,80,3,False
308,MedichamMega Medicham,Fighting,Psychic,160,60,100,85,80,85,100,3,False
309,Electrike,Electric,,85,40,45,40,65,40,65,3,False
310,Manectric,Electric,,145,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,Electric,,145,70,75,80,135,80,135,3,False
311,Plusle,Electric,,110,60,50,40,85,75,95,3,False
312,Minun,Electric,,100,60,40,50,75,85,95,3,False
313,Volbeat,Bug,,138,65,73,55,47,75,85,3,False
314,Illumise,Bug,,112,65,47,55,73,75,85,3,False
315,Roselia,Grass,Poison,110,50,60,45,100,80,65,3,False
316,Gulpin,Poison,,113,70,43,53,43,53,40,3,False
317,Swalot,Poison,,173,100,73,83,73,83,55,3,False
318,Carvanha,Water,Dark,135,45,90,20,65,20,65,3,False
319,Sharpedo,Water,Dark,190,70,120,40,95,40,95,3,False
319,SharpedoMega Sharpedo,Water,Dark,210,70,140,70,110,65,105,3,False
320,Wailmer,Water,,200,130,70,35,70,35,60,3,False
321,Wailord,Water,,260,170,90,45,90,45,60,3,False
322,Numel,Fire,Ground,120,60,60,40,65,45,35,3,False
323,Camerupt,Fire,Ground,170,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,Fire,Ground,190,70,120,100,145,105,20,3,False
324,Torkoal,Fire,,155,70,85,140,85,70,20,3,False
325,Spoink,Psychic,,85,60,25,35,70,80,60,3,False
326,Grumpig,Psychic,,125,80,45,65,90,110,80,3,False
327,Spinda,Normal,,120,60,60,60,60,60,60,3,False
328,Trapinch,Ground,,145,45,100,45,45,45,10,3,False
329,Vibrava,Ground,Dragon,120,50,70,50,50,50,70,3,False
330,Flygon,Ground,Dragon,180,80,100,80,80,80,100,3,False
331,Cacnea,Grass,,135,50,85,40,85,40,35,3,False
332,Cacturne,Grass,Dark,185,70,115,60,115,60,55,3,False
333,Swablu,Normal,Flying,85,45,40,60,40,75,50,3,False
334,Altaria,Dragon,Flying,145,75,70,90,70,105,80,3,False
334,AltariaMega Altaria,Dragon,Fairy,185,75,110,110,110,105,80,3,False
335,Zangoose,Normal,,188,73,115,60,60,60,90,3,False
336,Seviper,Poison,,173,73,100,60,100,60,65,3,False
337,Lunatone,Rock,Psychic,125,70,55,65,95,85,70,3,False
338,Solrock,Rock,Psychic,165,70,95,85,55,65,70,3,False
339,Barboach,Water,Ground,98,50,48,43,46,41,60,3,False
340,Whiscash,Water,Ground,188,110,78,73,76,71,60,3,False
341,Corphish,Water,,123,43,80,65,50,35,35,3,False
342,Crawdaunt,Water,Dark,183,63,120,85,90,55,55,3,False
343,Baltoy,Ground,Psychic,80,40,40,55,40,70,55,3,False
344,Claydol,Ground,Psychic,130,60,70,105,70,120,75,3,False
345,Lileep,Rock,Grass,107,66,41,77,61,87,23,3,False
346,Cradily,Rock,Grass,167,86,81,97,81,107,43,3,False
347,Anorith,Rock,Bug,140,45,95,50,40,50,75,3,False
348,Armaldo,Rock,Bug,200,75,125,100,70,80,45,3,False
349,Feebas,Water,,35,20,15,20,10,55,80,3,False
350,Milotic,Water,,155,95,60,79,100,125,81,3,False
351,Castform,Normal,,140,70,70,70,70,70,70,3,False
352,Kecleon,Normal,,150,60,90,70,60,120,40,3,False
353,Shuppet,Ghost,,119,44,75,35,63,33,45,3,False
354,Banette,Ghost,,179,64,115,65,83,63,65,3,False
354,BanetteMega Banette,Ghost,,229,64,165,75,93,83,75,3,False
355,Duskull,Ghost,,60,20,40,90,30,90,25,3,False
356,Dusclops,Ghost,,110,40,70,130,60,130,25,3,False
357,Tropius,Grass,Flying,167,99,68,83,72,87,51,3,False
358,Chimecho,Psychic,,115,65,50,70,95,80,65,3,False
359,Absol,Dark,,195,65,130,60,75,60,75,3,False
359,AbsolMega Absol,Dark,,215,65,150,60,115,60,115,3,False
360,Wynaut,Psychic,,118,95,23,48,23,48,23,3,False
361,Snorunt,Ice,,100,50,50,50,50,50,50,3,False
362,Glalie,Ice,,160,80,80,80,80,80,80,3,False
362,GlalieMega Glalie,Ice,,200,80,120,80,120,80,100,3,False
363,Spheal,Ice,Water,110,70,40,50,55,50,25,3,False
364,Sealeo,Ice,Water,150,90,60,70,75,70,45,3,False
365,Walrein,Ice,Water,190,110,80,90,95,90,65,3,False
366,Clamperl,Water,,99,35,64,85,74,55,32,3,False
367,Huntail,Water,,159,55,104,105,94,75,52,3,False
368,Gorebyss,Water,,139,55,84,105,114,75,52,3,False
369,Relicanth,Water,Rock,190,100,90,130,45,65,55,3,False
370,Luvdisc,Water,,73,43,30,55,40,65,97,3,False
371,Bagon,Dragon,,120,45,75,60,40,30,50,3,False
372,Shelgon,Dragon,,160,65,95,100,60,50,50,3,False
373,Salamence,Dragon,Flying,230,95,135,80,110,80,100,3,False
373,SalamenceMega Salamence,Dragon,Flying,240,95,145,130,120,90,120,3,False
374,Beldum,Steel,Psychic,95,40,55,80,35,60,30,3,False
375,Metang,Steel,Psychic,135,60,75,100,55,80,50,3,False
376,Metagross,Steel,Psychic,215,80,135,130,95,90,70,3,False
376,MetagrossMega Metagross,Steel,Psychic,225,80,145,150,105,110,110,3,False
377,Regirock,Rock,,180,80,100,200,50,100,50,3,True
378,Regice,Ice,,130,80,50,100,100,200,50,3,True
379,Registeel,Steel,,155,80,75,150,75,150,50,3,True
380,Latias,Dragon,Psychic,160,80,80,90,110,130,110,3,True
380,LatiasMega Latias,Dragon,Psychic,180,80,100,120,140,150,110,3,True
381,Latios,Dragon,Psychic,170,80,90,80,130,110,110,3,True
381,LatiosMega Latios,Dragon,Psychic,210,80,130,100,160,120,110,3,True
382,Kyogre,Water,,200,100,100,90,150,140,90,3,True
